time_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0.000000000000000000e+00,-2.157919090000000040e-01,2.772707240000000239e-01,-1.650223462999999890e+00,-5.605870530000000018e-01,4.144895719999999728e-01,5.215407789999999544e-01
1.000000000000000021e-03,-2.157919090000000040e-01,2.772707240000000239e-01,-1.650223462999999890e+00,-5.605870530000000018e-01,4.144895719999999728e-01,5.215407789999999544e-01
2.000000000000000042e-03,-2.157919089799329171e-01,2.772707240077767477e-01,-1.650223462900975768e+00,-5.605870534718688791e-01,4.144895718790022054e-01,5.215407795967709204e-01
3.000000000000000062e-03,-2.157919088963785315e-01,2.772707240416557584e-01,-1.650223462475861824e+00,-5.605870554860458155e-01,4.144895713696008510e-01,5.215407821139554922e-01
4.000000000000000083e-03,-2.157919087040682804e-01,2.772707241239690257e-01,-1.650223461459383589e+00,-5.605870602711842121e-01,4.144895701794947818e-01,5.215407880143297925e-01
5.000000000000000104e-03,-2.157919083615934541e-01,2.772707242792544768e-01,-1.650223459572180085e+00,-5.605870690962188041e-01,4.144895680232477675e-01,5.215407987548835722e-01
6.000000000000000125e-03,-2.157919078326863693e-01,2.772707245339428583e-01,-1.650223456526610954e+00,-5.605870832404207249e-01,4.144895646276341994e-01,5.215408157580291304e-01
7.000000000000000146e-03,-2.157919070867481415e-01,2.772707249157176923e-01,-1.650223452030143978e+00,-5.605871039820692348e-01,4.144895597344560589e-01,5.215408404081769422e-01
8.000000000000000167e-03,-2.157919060989229587e-01,2.772707254536804222e-01,-1.650223445785164555e+00,-5.605871325977812569e-01,4.144895530986841825e-01,5.215408740586233716e-01
9.000000000000001055e-03,-2.157919048501272530e-01,2.772707261779455146e-01,-1.650223437490234035e+00,-5.605871703604685674e-01,4.144895444882336077e-01,5.215409180361254560e-01
1.000000000000000194e-02,-2.157919033268410614e-01,2.772707271198897039e-01,-1.650223426839245278e+00,-5.605872185412338338e-01,4.144895336818100184e-01,5.215409736479496017e-01
1.100000000000000283e-02,-2.157919015211212654e-01,2.772707283118748256e-01,-1.650223413522235116e+00,-5.605872784082158722e-01,4.144895204684868606e-01,5.215410421847498368e-01
1.200000000000000372e-02,-2.157918994305986216e-01,2.772707297872613053e-01,-1.650223397225638378e+00,-5.605873512258027214e-01,4.144895046467680366e-01,5.215411249223113055e-01
1.300000000000000461e-02,-2.157918970583617979e-01,2.772707315801333783e-01,-1.650223377632508370e+00,-5.605874382562209268e-01,4.144894860235550094e-01,5.215412231265085241e-01
1.400000000000000550e-02,-2.157918944128982275e-01,2.772707337254436966e-01,-1.650223354422567956e+00,-5.605875407583994496e-01,4.144894644134227146e-01,5.215413380532460952e-01
1.500000000000000638e-02,-2.157918915080999644e-01,2.772707362589156843e-01,-1.650223327272380747e+00,-5.605876599879103805e-01,4.144894396379328882e-01,5.215414709503317647e-01
1.600000000000000727e-02,-2.157918883632347073e-01,2.772707392167600426e-01,-1.650223295855864247e+00,-5.605877971977104579e-01,4.144894115250198352e-01,5.215416230594233093e-01
1.700000000000000816e-02,-2.157918850027440993e-01,2.772707426359286020e-01,-1.650223259843716983e+00,-5.605879536385809381e-01,4.144893799085588859e-01,5.215417956171398695e-01
1.800000000000000905e-02,-2.157918814563538901e-01,2.772707465538620242e-01,-1.650223218904454558e+00,-5.605881305570747930e-01,4.144893446278422044e-01,5.215419898536295396e-01
